round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,121.35256000000022,1678.6474399999997,1999,2174.515559999985,2174.515559999985,5000000
2,120.62080000000017,1558.0266399999996,1999,2189.07779999999,4363.593359999975,10000000
3,110.84592000000015,1447.1807199999994,1999,2228.838919999988,6592.432279999963,15000000
4,112.51118000000017,1334.6695399999992,1996,2227.515179999979,8819.947459999941,20000000
5,108.71788000000016,1225.951659999999,1996,2236.8768799999916,11056.824339999934,24000000
6,107.90622000000016,1118.045439999999,1994,2240.4792199999965,13297.303559999931,28000000
7,106.85835000000013,1011.1870899999989,1994,2241.513349999985,15538.816909999916,32000000
8,109.39828000000014,901.7888099999988,1982,2229.6392799999853,17768.456189999903,38000000
9,109.69149000000016,792.0973199999986,1976,2201.9524899999824,19970.408679999884,42000000
10,98.09920999999976,693.9981099999989,764,2197.557209999961,22167.965889999847,46000000
11,45.31013999999991,648.6879699999989,762,403.2281400000021,22571.19402999985,49000000
12,40.470009999999945,608.217959999999,759,411.5400100000014,22982.73403999985,52000000
13,39.41229999999993,568.8056599999991,756,410.19430000000114,23392.928339999853,55000000
14,38.96333999999993,529.8423199999992,755,407.94734000000125,23800.875679999855,57000000
15,38.253229999999924,491.58908999999926,746,406.46323000000126,24207.338909999857,60000000
16,38.12837999999992,453.4607099999993,746,401.1573800000012,24608.496289999857,62000000
17,37.06305999999995,416.3976499999994,718,400.8510600000014,25009.347349999858,64000000
18,37.13931999999994,379.25832999999943,718,377.8393200000014,25387.18666999986,66000000
19,36.15147999999994,343.1068499999995,709,378.9894800000013,25766.17614999986,68000000
20,36.241029999999945,306.86581999999953,709,370.64403000000124,26136.82017999986,70000000
21,35.76989999999995,271.0959199999996,685,370.61290000000116,26507.43307999986,72000000
22,35.56507999999996,235.5308399999996,685,351.5200800000013,26858.953159999863,73000000
23,34.72491999999996,200.80591999999965,656,352.3949200000013,27211.348079999865,74000000
24,33.06375999999996,167.74215999999967,634,320.2737600000004,27531.621839999865,75000000
25,33.14836999999996,134.59378999999973,631,306.02336999999994,27837.645209999864,76000000
26,32.17414999999997,102.41963999999976,625,304.2121499999998,28141.857359999864,77000000
27,31.828409999999973,70.59122999999978,614,299.8584100000001,28441.715769999864,78000000
28,27.60812999999996,42.98309999999982,494,284.47913000000005,28726.194899999864,79000000
29,24.957899999999977,18.025199999999845,447,188.8078999999999,28915.002799999864,80000000
30,13.470409999999974,4.554789999999871,0,156.2444100000001,29071.247209999863,81000000
round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,120.36868000000031,1679.6313199999997,2000,2199.4136799999837,2199.4136799999837,5000000
2,123.77380000000025,1555.8575199999996,2000,2180.2037999999916,4379.617479999975,9000000
3,111.68842000000038,1444.1690999999992,2000,2232.463419999992,6612.080899999967,13000000
4,108.5364100000004,1335.6326899999988,1994,2237.607409999993,8849.68830999996,17000000
5,110.45242000000043,1225.1802699999982,1992,2222.7824200000055,11072.470729999965,21000000
6,108.20769000000037,1116.9725799999978,1992,2229.9186899999977,13302.389419999963,25000000
7,107.88477000000039,1009.0878099999975,1991,2229.1927699999997,15531.582189999963,29000000
8,106.91060000000039,902.1772099999971,1970,2228.709600000001,17760.291789999963,33000000
9,105.26036000000038,796.9168499999968,1969,2194.6843600000043,19954.976149999966,37000000
10,96.34139999999995,700.5754499999969,760,2193.2683999999767,22148.24454999994,41000000
11,46.44170999999988,654.133739999997,758,392.58271000000167,22540.827259999944,42000000
12,41.06684999999993,613.0668899999971,757,404.82485000000025,22945.652109999945,43000000
13,38.50116999999992,574.5657199999972,755,406.0291700000006,23351.681279999946,44000000
14,38.60513999999991,535.9605799999973,755,404.5611400000002,23756.242419999948,45000000
15,38.47905999999992,497.48151999999743,747,404.20206,24160.444479999947,46000000
16,38.52557999999992,458.9559399999975,747,396.57057999999955,24557.015059999947,47000000
17,37.29137999999992,421.66455999999755,727,397.27038,24954.28543999995,48000000
18,37.06731999999991,384.59723999999767,727,376.753320000001,25331.03875999995,49000000
19,36.63301999999991,347.96421999999774,708,376.7550200000011,25707.79377999995,50000000
20,36.64798999999992,311.3162299999978,708,360.59899000000087,26068.39276999995,51000000
21,35.78559999999993,275.53062999999787,688,360.5046000000011,26428.89736999995,52000000
22,34.967259999999946,240.56336999999792,688,344.2642600000007,26773.16162999995,53000000
23,34.86589999999995,205.69746999999796,658,343.8519000000006,27117.013529999953,54000000
24,33.96071999999994,171.73674999999804,644,317.50972000000013,27434.523249999955,55000000
25,33.28432999999996,138.45241999999809,643,307.66033000000044,27742.183579999954,56000000
26,32.49239999999999,105.9600199999981,636,307.74440000000016,28049.927979999953,57000000
27,32.27961999999999,73.68039999999812,632,301.24461999999994,28351.172599999954,58000000
28,28.289219999999936,45.39117999999818,510,294.5332199999999,28645.705819999956,59000000
29,26.27534999999999,19.11582999999819,471,199.58235000000022,28845.288169999956,59000000
30,13.40933999999998,5.70648999999821,0,167.49233999999996,29012.780509999957,59000000
